day;timestamp;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;20001.0;14999;72;0.0;0.0;0.0;0.0;15001;72;0.0;0.0;0.0;0.0;15000.0;0.0
0;20002.0;14999;66;0.0;0.0;0.0;0.0;15001;66;0.0;0.0;0.0;0.0;15000.0;0.0
0;20003.0;15000;61;0.0;0.0;0.0;0.0;15001;21;15002.0;40.0;0.0;0.0;15000.5;0.0
0;20004.0;14999;69;0.0;0.0;0.0;0.0;15001;69;0.0;0.0;0.0;0.0;15000.0;0.0
0;20005.0;14997;62;0.0;0.0;0.0;0.0;14998;62;0.0;0.0;0.0;0.0;14997.5;0.0
0;20006.0;14996;30;14995.0;35.0;0.0;0.0;14997;65;0.0;0.0;0.0;0.0;14996.5;0.0
0;20007.0;14993;67;0.0;0.0;0.0;0.0;14994;67;0.0;0.0;0.0;0.0;14993.5;0.0
0;20008.0;14993;56;0.0;0.0;0.0;0.0;14994;56;0.0;0.0;0.0;0.0;14993.5;0.0
0;20009.0;14997;30;14996.0;42.0;0.0;0.0;14998;72;0.0;0.0;0.0;0.0;14997.5;0.0
0;20010.0;14995;67;0.0;0.0;0.0;0.0;14997;67;0.0;0.0;0.0;0.0;14996.0;0.0
0;20011.0;14994;19;14993.0;50.0;0.0;0.0;14995;69;0.0;0.0;0.0;0.0;14994.5;0.0
0;20012.0;14995;65;0.0;0.0;0.0;0.0;14996;65;0.0;0.0;0.0;0.0;14995.5;0.0
0;20013.0;14996;67;0.0;0.0;0.0;0.0;14997;67;0.0;0.0;0.0;0.0;14996.5;0.0
0;20014.0;14996;78;0.0;0.0;0.0;0.0;14997;29;14998.0;49.0;0.0;0.0;14996.5;0.0
0;20015.0;14994;24;14993.0;50.0;0.0;0.0;14995;74;0.0;0.0;0.0;0.0;14994.5;0.0
0;20016.0;14993;64;0.0;0.0;0.0;0.0;14995;64;0.0;0.0;0.0;0.0;14994.0;0.0
0;20017.0;14995;75;0.0;0.0;0.0;0.0;14997;75;0.0;0.0;0.0;0.0;14996.0;0.0
0;20018.0;14992;17;14991.0;40.0;0.0;0.0;14993;57;0.0;0.0;0.0;0.0;14992.5;0.0
0;20019.0;14990;56;0.0;0.0;0.0;0.0;14992;56;0.0;0.0;0.0;0.0;14991.0;0.0
0;20020.0;14985;60;0.0;0.0;0.0;0.0;14986;60;0.0;0.0;0.0;0.0;14985.5;0.0
