day;timestamp;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;20001.0;7999;111;0.0;0.0;0.0;0.0;8001;111;0.0;0.0;0.0;0.0;8000.0;0.0
0;20002.0;8001;52;8000.0;95.0;0.0;0.0;8002;147;0.0;0.0;0.0;0.0;8001.5;0.0
0;20003.0;8000;152;0.0;0.0;0.0;0.0;8002;152;0.0;0.0;0.0;0.0;8001.0;0.0
0;20004.0;8002;44;8001.0;84.0;0.0;0.0;8003;128;0.0;0.0;0.0;0.0;8002.5;0.0
0;20005.0;8001;118;0.0;0.0;0.0;0.0;8003;118;0.0;0.0;0.0;0.0;8002.0;0.0
0;20006.0;8001;98;0.0;0.0;0.0;0.0;8002;40;8003.0;58.0;0.0;0.0;8001.5;0.0
0;20007.0;8001;109;0.0;0.0;0.0;0.0;8003;109;0.0;0.0;0.0;0.0;8002.0;0.0
0;20008.0;8003;52;8002.0;74.0;0.0;0.0;8004;52;8005.0;74.0;0.0;0.0;8003.5;0.0
0;20009.0;8002;94;0.0;0.0;0.0;0.0;8003;35;8004.0;59.0;0.0;0.0;8002.5;0.0
0;20010.0;8002;94;0.0;0.0;0.0;0.0;8003;38;8004.0;56.0;0.0;0.0;8002.5;0.0
0;20011.0;8002;55;8001.0;67.0;0.0;0.0;8003;55;8004.0;67.0;0.0;0.0;8002.5;0.0
0;20012.0;8001;61;8000.0;99.0;0.0;0.0;8002;61;8003.0;99.0;0.0;0.0;8001.5;0.0
0;20013.0;7998;113;0.0;0.0;0.0;0.0;7999;40;8000.0;73.0;0.0;0.0;7998.5;0.0
0;20014.0;8000;50;7999.0;63.0;0.0;0.0;8001;57;8002.0;63.0;0.0;0.0;8000.5;0.0
0;20015.0;7999;135;0.0;0.0;0.0;0.0;8001;135;0.0;0.0;0.0;0.0;8000.0;0.0
0;20016.0;7999;46;7998.0;90.0;0.0;0.0;8000;46;8001.0;90.0;0.0;0.0;7999.5;0.0
0;20017.0;7998;149;0.0;0.0;0.0;0.0;7999;60;8000.0;89.0;0.0;0.0;7998.5;0.0
0;20018.0;7998;42;7997.0;59.0;0.0;0.0;7999;42;8000.0;59.0;0.0;0.0;7998.5;0.0
0;20019.0;7999;58;7998.0;78.0;0.0;0.0;8000;58;8001.0;78.0;0.0;0.0;7999.5;0.0
0;20020.0;8001;58;8000.0;76.0;0.0;0.0;8002;58;8003.0;76.0;0.0;0.0;8001.5;0.0
0;20021.0;8001;112;0.0;0.0;0.0;0.0;8002;51;8003.0;61.0;0.0;0.0;8001.5;0.0
0;20022.0;8000;56;7999.0;83.0;0.0;0.0;8001;139;0.0;0.0;0.0;0.0;8000.5;0.0
0;20023.0;7999;108;0.0;0.0;0.0;0.0;8001;108;0.0;0.0;0.0;0.0;8000.0;0.0
0;20024.0;8000;53;7999.0;94.0;0.0;0.0;8001;147;0.0;0.0;0.0;0.0;8000.5;0.0
0;20025.0;8000;38;7999.0;65.0;0.0;0.0;8001;38;8002.0;65.0;0.0;0.0;8000.5;0.0
0;20026.0;8000;135;0.0;0.0;0.0;0.0;8002;135;0.0;0.0;0.0;0.0;8001.0;0.0
0;20027.0;8002;130;0.0;0.0;0.0;0.0;8004;130;0.0;0.0;0.0;0.0;8003.0;0.0
0;20028.0;8001;144;0.0;0.0;0.0;0.0;8002;61;8003.0;83.0;0.0;0.0;8001.5;0.0
0;20029.0;8001;148;0.0;0.0;0.0;0.0;8003;148;0.0;0.0;0.0;0.0;8002.0;0.0
0;20030.0;8002;103;0.0;0.0;0.0;0.0;8004;103;0.0;0.0;0.0;0.0;8003.0;0.0
0;20031.0;8002;44;8001.0;59.0;0.0;0.0;8003;44;8004.0;59.0;0.0;0.0;8002.5;0.0
0;20032.0;8002;127;0.0;0.0;0.0;0.0;8003;46;8004.0;81.0;0.0;0.0;8002.5;0.0
0;20033.0;8003;137;0.0;0.0;0.0;0.0;8005;137;0.0;0.0;0.0;0.0;8004.0;0.0
0;20034.0;8004;49;8003.0;74.0;0.0;0.0;8005;49;8006.0;74.0;0.0;0.0;8004.5;0.0
0;20035.0;8003;42;8002.0;83.0;0.0;0.0;8004;120;0.0;0.0;0.0;0.0;8003.5;0.0
0;20036.0;8003;107;0.0;0.0;0.0;0.0;8005;107;0.0;0.0;0.0;0.0;8004.0;0.0
0;20037.0;8003;142;0.0;0.0;0.0;0.0;8005;142;0.0;0.0;0.0;0.0;8004.0;0.0
0;20038.0;8002;132;0.0;0.0;0.0;0.0;8004;132;0.0;0.0;0.0;0.0;8003.0;0.0
0;20039.0;8001;110;0.0;0.0;0.0;0.0;8003;110;0.0;0.0;0.0;0.0;8002.0;0.0
0;20040.0;8001;43;8000.0;95.0;0.0;0.0;8002;43;8003.0;95.0;0.0;0.0;8001.5;0.0
0;20041.0;8002;138;0.0;0.0;0.0;0.0;8004;138;0.0;0.0;0.0;0.0;8003.0;0.0
0;20042.0;8000;145;0.0;0.0;0.0;0.0;8002;145;0.0;0.0;0.0;0.0;8001.0;0.0
0;20043.0;8000;130;0.0;0.0;0.0;0.0;8002;130;0.0;0.0;0.0;0.0;8001.0;0.0
0;20044.0;7998;39;7997.0;65.0;0.0;0.0;7999;39;8000.0;65.0;0.0;0.0;7998.5;0.0
0;20045.0;7999;131;0.0;0.0;0.0;0.0;8001;131;0.0;0.0;0.0;0.0;8000.0;0.0
0;20046.0;8000;54;7999.0;61.0;0.0;0.0;8001;54;8002.0;61.0;0.0;0.0;8000.5;0.0
0;20047.0;8001;129;0.0;0.0;0.0;0.0;8002;52;8003.0;77.0;0.0;0.0;8001.5;0.0
0;20048.0;8000;142;0.0;0.0;0.0;0.0;8001;5;8002.0;142.0;0.0;0.0;8000.5;0.0
