day;timestamp;buyer;seller;symbol;currency;price;quantity
0;0;Remy;Vinnie;ROSES;SEASHELLS;15001.0;3
0;0;Remy;Vinnie;CHOCOLATE;SEASHELLS;8001.0;8
0;200;Vinnie;Rhianna;ROSES;SEASHELLS;15000.0;3
0;500;Vinnie;Remy;STRAWBERRIES;SEASHELLS;3999.0;10
0;1000;Ruby;Vinnie;GIFT_BASKET;SEASHELLS;71360.0;2
0;1200;Remy;Vinnie;ROSES;SEASHELLS;14997.0;1
0;1300;Vinnie;Vladimir;CHOCOLATE;SEASHELLS;8000.0;7
0;1400;Vinnie;Remy;ROSES;SEASHELLS;14994.0;3
0;2600;Remy;Vinnie;ROSES;SEASHELLS;14974.0;5
0;2800;Remy;Vinnie;STRAWBERRIES;SEASHELLS;4001.0;10
0;3100;Remy;Vinnie;ROSES;SEASHELLS;14961.0;5
0;3200;Remy;Vinnie;STRAWBERRIES;SEASHELLS;4002.0;5
0;3300;Remy;Vinnie;STRAWBERRIES;SEASHELLS;4001.0;8
0;3500;Rhianna;Vinnie;GIFT_BASKET;SEASHELLS;71340.0;2
0;3500;Remy;Vinnie;CHOCOLATE;SEASHELLS;8005.0;8
0;3500;Vinnie;Vladimir;STRAWBERRIES;SEASHELLS;4000.0;7
0;3700;Remy;Vinnie;ROSES;SEASHELLS;14955.0;4
0;3800;Rhianna;Vinnie;GIFT_BASKET;SEASHELLS;71339.0;1
0;4400;Vinnie;Remy;STRAWBERRIES;SEASHELLS;3999.0;9
0;4600;Vinnie;Remy;STRAWBERRIES;SEASHELLS;4000.0;7
0;5600;Vinnie;Vladimir;STRAWBERRIES;SEASHELLS;3998.0;8
0;5800;Vinnie;Remy;CHOCOLATE;SEASHELLS;7995.0;6
0;5800;Vinnie;Vladimir;CHOCOLATE;SEASHELLS;7995.0;10
0;5800;Remy;Vinnie;STRAWBERRIES;SEASHELLS;4000.0;4
0;6200;Vinnie;Remy;ROSES;SEASHELLS;14962.0;3
0;6800;Vinnie;Remy;STRAWBERRIES;SEASHELLS;3999.0;7
0;7200;Vinnie;Remy;STRAWBERRIES;SEASHELLS;3999.0;4
0;7400;Vinnie;Vladimir;CHOCOLATE;SEASHELLS;7999.0;7
0;7700;Remy;Vinnie;ROSES;SEASHELLS;14957.0;1
0;7800;Vinnie;Remy;ROSES;SEASHELLS;14955.0;1
0;8000;Remy;Vinnie;CHOCOLATE;SEASHELLS;8003.0;5
0;8600;Remy;Vinnie;STRAWBERRIES;SEASHELLS;4003.0;4
0;9000;Vinnie;Remy;ROSES;SEASHELLS;14957.0;5
0;9300;Remy;Vinnie;ROSES;SEASHELLS;14959.0;4
0;9400;Vinnie;Remy;ROSES;SEASHELLS;14961.0;2
0;9500;Vinnie;Ruby;GIFT_BASKET;SEASHELLS;71386.0;1
0;9700;Remy;Vinnie;ROSES;SEASHELLS;14960.0;5
0;9700;Remy;Vinnie;STRAWBERRIES;SEASHELLS;4004.0;5
0;10000;Vinnie;Vladimir;CHOCOLATE;SEASHELLS;8002.0;9
0;10800;Remy;Vinnie;CHOCOLATE;SEASHELLS;8000.0;5
0;11600;Remy;Vinnie;STRAWBERRIES;SEASHELLS;4001.0;9
0;11700;Remy;Vinnie;ROSES;SEASHELLS;14949.0;2
0;12200;Vinnie;Vladimir;STRAWBERRIES;SEASHELLS;4001.0;5
0;12400;Vinnie;Vladimir;STRAWBERRIES;SEASHELLS;4001.0;9
