mid_price,market_sentiment,lower_BB,middle_BB,upper_BB,RSI,MACD
"""","[[""STARFRUIT""","""STARFRUIT""",1],"[""AMETHYSTS""","""AMETHYSTS""",1]]
5003.0,0.3333,5003.0,5003.0,5003.0,0,0.0
5003.0,0.6667,5003.0,5003.0,5003.0,0,0.0
5003.0,0.5,5003.0,5003.0,5003.0,0,0.0
5003.0,0.5,5003.0,5003.0,5003.0,0,0.0
5003.0,0.5,5003.0,5003.0,5003.0,0,0.0
5003.0,0.75,5003.0,5003.0,5003.0,0,0.0
5003.0,0.6667,5003.0,5003.0,5003.0,0,0.0
5003.0,0.3333,5003.0,5003.0,5003.0,0,0.0
5003.0,0.3333,5003.0,5003.0,5003.0,0,0.0
5003.0,0.3333,5003.0,5003.0,5003.0,0,0.0
5003.0,0.6667,5003.0,5003.0,5003.0,0,0.0
5003.0,0.3333,5003.0,5003.0,5003.0,0,0.0
5003.0,0.3333,5003.0,5003.0,5003.0,0,0.0
5003.0,0.6667,5003.0,5003.0,5003.0,0,0.0
5003.0,0.5,5003.0,5003.0,5003.0,0,0.0
5003.0,0.3333,5003.0,5003.0,5003.0,0,0.0
5003.0,0.25,5003.0,5003.0,5003.0,0,0.0
5002.0,0.6667,5002.0,5002.5,5003.0,0.0,0.0
5002.0,0.5,5001.8889,5002.3333,5002.7778,0.0,0.0
5002.0,0.5,5001.8889,5002.3333,5002.7778,0.0,0.0
5002.0,0.6667,5001.8889,5002.3333,5002.7778,0.0,0.0
5002.0,0.5,5001.8889,5002.3333,5002.7778,0.0,0.0
5002.0,0.3333,5001.8889,5002.3333,5002.7778,0.0,0.0
4997.0,0.5,4990.0,5001.0,5012.0,0.0,0.0
4997.0,0.6667,4990.0,5001.0,5012.0,0.0,0.0
4997.0,0.6667,4990.0,5001.0,5012.0,0.0,0.0
4997.0,0.5,4990.0,5001.0,5012.0,0.0,0.0
4997.0,0.5,4990.0,5001.0,5012.0,0.0,0.0
4997.0,0.5,4990.0,5001.0,5012.0,0.0,0.0
4997.0,0.6667,4990.0,5001.0,5012.0,0.0,0.0
5003.0,0.3333,4991.32,5001.4,5011.48,0.5,0.0
5003.0,0.3333,4991.32,5001.4,5011.48,0.5,0.0
5003.0,0.5,4991.32,5001.4,5011.48,0.5,0.0
5003.0,0.3333,4991.32,5001.4,5011.48,0.5,0.0
5003.0,0.5,4991.32,5001.4,5011.48,0.5,0.0
5003.0,0.5,4991.32,5001.4,5011.48,0.5,0.0
5003.0,0.6667,4991.32,5001.4,5011.48,0.5,0.0
5003.0,0.5,4991.32,5001.4,5011.48,0.5,0.0
5003.0,0.5,4991.32,5001.4,5011.48,0.5,0.0
5003.0,0.3333,4991.32,5001.4,5011.48,0.5,0.0
5003.0,0.3333,4991.32,5001.4,5011.48,0.5,0.0
5003.0,0.6667,4991.32,5001.4,5011.48,0.5,0.0
5003.0,0.5,4992.5556,5001.6667,5010.7778,0.5,0.0
5003.0,0.5,4992.5556,5001.6667,5010.7778,0.5,0.0
4997.0,0.5,4987.8571,5001.0,5014.1429,0.3333,0.0
4997.0,0.5,4987.8571,5001.0,5014.1429,0.3333,0.0
4997.0,0.2,4987.8571,5001.0,5014.1429,0.3333,0.0
4997.0,0.5,4987.8571,5001.0,5014.1429,0.3333,0.0
4997.0,0.5,4987.8571,5001.0,5014.1429,0.3333,0.0
4997.0,0.5,4987.8571,5001.0,5014.1429,0.3333,0.0
4997.0,0.6667,4987.8571,5001.0,5014.1429,0.3333,0.0
4997.0,0.5,4987.8571,5001.0,5014.1429,0.3333,0.0
4997.0,0.6667,4987.8571,5001.0,5014.1429,0.3333,0.0
4997.0,0.3333,4987.8571,5001.0,5014.1429,0.3333,0.0
4997.0,0.5,4987.8571,5001.0,5014.1429,0.3333,0.0
4997.0,0.6667,4987.8571,5001.0,5014.1429,0.3333,0.0
4999.0,0.5,4988.375,5000.75,5013.125,0.4,0.0
4999.0,0.5,4988.375,5000.75,5013.125,0.4,0.0
4999.0,0.5,4988.375,5000.75,5013.125,0.4,0.0
4999.0,0.5,4988.375,5000.75,5013.125,0.4,0.0
4999.0,0.3333,4988.9506,5000.5556,5012.1605,0.4,0.0
4999.0,0.3333,4988.9506,5000.5556,5012.1605,0.4,0.0
4999.0,0.6667,4988.9506,5000.5556,5012.1605,0.4,0.0
4999.0,0.6667,4988.9506,5000.5556,5012.1605,0.4,0.0
4999.0,0.3333,4988.9506,5000.5556,5012.1605,0.4,0.0
4999.0,0.5,4988.9506,5000.5556,5012.1605,0.4,0.0
4999.0,0.6667,4988.9506,5000.5556,5012.1605,0.4,0.0
4999.0,0.25,4988.9506,5000.5556,5012.1605,0.4,0.0
5003.0,0.3333,4989.28,5000.8,5012.32,0.5,0.0
5003.0,0.6667,4989.28,5000.8,5012.32,0.5,0.0
5004.0,0.5,4988.9256,5001.0909,5013.2562,0.52,0.0
5004.0,0.5,4988.9256,5001.0909,5013.2562,0.52,0.0
5004.0,0.6667,4988.9256,5001.0909,5013.2562,0.52,0.0
4998.0,0.3333,4988.2222,5000.8333,5013.4444,0.4194,0.0
4998.0,0.5,4988.2222,5000.8333,5013.4444,0.4194,0.0
4998.0,0.5,4988.2222,5000.8333,5013.4444,0.4194,0.0
4997.0,0.5,4986.8107,5000.5385,5014.2663,0.4062,0.0
4997.0,0.6667,4986.8107,5000.5385,5014.2663,0.4062,0.0
4997.0,0.5,4986.8107,5000.5385,5014.2663,0.4062,0.0
4997.0,0.3333,4986.8107,5000.5385,5014.2663,0.4062,0.0
4997.0,0.3333,4986.8107,5000.5385,5014.2663,0.4062,0.0
5004.0,0.3333,4986.449,5000.7857,5015.1224,0.5128,0.0
5004.0,0.5,4986.449,5000.7857,5015.1224,0.5128,0.0
5004.0,0.5,4986.449,5000.7857,5015.1224,0.5128,0.0
5004.0,0.6667,4986.449,5000.7857,5015.1224,0.5128,0.0
4998.0,0.5,4986.2533,5000.6,5014.9467,0.4444,0.0
4998.0,0.3333,4986.2533,5000.6,5014.9467,0.4444,0.0
4998.0,0.6667,4986.2533,5000.6,5014.9467,0.4444,0.0
4998.0,0.6667,4986.2533,5000.6,5014.9467,0.4444,0.0
4998.0,0.5,4986.2533,5000.6,5014.9467,0.4444,0.0
4998.0,0.5,4986.2533,5000.6,5014.9467,0.4444,0.0
5003.0,0.3333,4986.625,5000.75,5014.875,0.5,0.0
5003.0,0.3333,4986.625,5000.75,5014.875,0.5,0.0
5003.0,0.5,4986.625,5000.75,5014.875,0.5,0.0
5003.0,0.6667,4986.625,5000.75,5014.875,0.5,0.0
5003.0,0.5,4986.625,5000.75,5014.875,0.5,0.0
5003.0,0.5,4986.625,5000.75,5014.875,0.5,0.0
5003.0,0.5,4986.625,5000.75,5014.875,0.5,0.0
5003.0,0.6667,4986.625,5000.75,5014.875,0.5,0.0
5003.0,0.6667,4986.625,5000.75,5014.875,0.5,0.0
5003.0,0.6667,4986.625,5000.75,5014.875,0.5,0.0
